step,split,loss
50,train,3.5543
100,train,3.2418
150,train,3.0432
200,train,2.9193
250,train,2.7573
300,train,2.6485
350,train,2.5704
400,train,2.4976
450,train,2.4465
500,train,2.4191
550,train,2.3155
600,train,2.2872
650,train,2.2613
700,train,2.2181
750,train,2.2414
800,train,2.1762
850,train,2.1398
900,train,2.1428
950,train,2.1068
1000,train,2.0291
1050,train,2.0261
1100,train,2.0259
1150,train,2.0901
1200,train,1.9791
1250,train,1.9862
1300,train,1.9544
1350,train,1.9712
1400,train,1.9532
1450,train,1.933
1500,train,1.9293
1550,train,1.9067
1600,train,1.8789
1650,train,1.8345
1700,train,1.9135
1750,train,1.8368
1800,train,1.8373
1850,train,1.8029
1900,train,1.859
1950,train,1.8076
2000,train,1.7833
2050,train,1.7833
2100,train,1.8137
2150,train,1.7523
2200,train,1.7437
2250,train,1.7627
2300,train,1.7294
2350,train,1.7455
2400,train,1.7372
2450,train,1.6917
2500,train,1.7242
2550,train,1.678
2600,train,1.7034
2650,train,1.6997
2700,train,1.6348
2750,train,1.6168
2800,train,1.6562
2850,train,1.6384
2900,train,1.6395
2950,train,1.6359
3000,train,1.6839
3050,train,1.6268
3100,train,1.6331
3150,train,1.6112
3200,train,1.6369
3250,train,1.6135
3300,train,1.593
3350,train,1.5693
3400,train,1.6084
3450,train,1.6282
3500,train,1.5654
3550,train,1.5793
3600,train,1.6056
3650,train,1.617
3700,train,1.5909
3750,train,1.5408
3800,train,1.5797
3850,train,1.5381
3900,train,1.5516
3950,train,1.5669
4000,train,1.5959
4050,train,1.5656
4100,train,1.5475
4150,train,1.5325
4200,train,1.5636
4250,train,1.5471
4300,train,1.5345
4350,train,1.5588
4400,train,1.557
4450,train,1.5232
4500,train,1.5308
4550,train,1.5228
4600,train,1.487
4650,train,1.4848
4700,train,1.5066
4750,train,1.476
4800,train,1.4676
4850,train,1.4778
4900,train,1.4964
4950,train,1.4915
5000,train,1.453
5050,train,1.5347
5100,train,1.4806
5150,train,1.4456
5200,train,1.4497
5250,train,1.4701
5300,train,1.4285
5350,train,1.4712
5400,train,1.4549
5450,train,1.4595
