timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-18T22:06:04,Hitomi,ime,1,L1-01,おはよう,おはよう,,o a o u,,611.0,2632.0,6,2,315.0,-1,1
2026-06-18T22:06:10,Hitomi,ime,1,L1-02,パソコン,ぱそこん,,a o o n,,594.0,2717.0,9,5,169.7,-1,0
2026-06-18T22:06:24,Hitomi,ime,1,L1-02,パソコン,パソコン,,a o o n,,549.0,9472.0,13,13,334.8,-1,1
2026-06-18T22:06:30,Hitomi,ime,1,L1-03,電話,電話,,e n a,,1080.0,1312.0,5,4,94.1,-1,1
2026-06-18T22:06:36,Hitomi,ime,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,567.0,2152.0,8,7,117.4,-1,1
2026-06-18T22:06:42,Hitomi,ime,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,428.0,2669.0,7,6,153.7,-1,1
2026-06-18T22:06:50,Hitomi,ime,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,480.0,4279.0,10,9,219.9,-1,1
2026-06-18T22:07:03,Hitomi,ime,3,L3-01,明日はパソコンを買いに行く,明日はパソコンを買いに行く,,a i a a a o o n o a i i i u,,442.0,9155.0,28,33,131.5,-1,1
2026-06-18T22:07:12,Hitomi,ime,3,L3-02,子供の病院に行こう,子供の病院に向かう,,o o o o o u i n i i o u,,460.0,4948.0,18,16,139.1,-1,0
2026-06-18T22:07:21,Hitomi,ime,3,L3-02,子供の病院に行こう,子供の病院に行こう,,o o o o o u i n i i o u,,614.0,4219.0,17,16,113.9,-1,1
2026-06-18T22:07:30,Hitomi,ime,3,L3-03,車で行こうか、電車で行こうか,車で行こうか電車で行こうか,,u u a e i o u a e n a e i o u a,,797.0,4635.0,23,21,98.2,-1,1
2026-06-18T22:07:56,Hitomi,vowel_noinfer,1,L1-01,おはよう,おはよう,,o a o u,,4418.0,861.0,1,0,0.0,-1,1
2026-06-18T22:08:03,Hitomi,vowel_noinfer,1,L1-02,パソコン,パソコン,,a o o n,,3885.0,493.0,1,0,0.0,-1,1
2026-06-18T22:08:13,Hitomi,vowel_noinfer,1,L1-03,電話,電話,,e n a,,6041.0,710.0,1,0,0.0,-1,1
2026-06-18T22:08:23,Hitomi,vowel_noinfer,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,5804.0,742.0,1,0,0.0,-1,1
2026-06-18T22:08:31,Hitomi,vowel_noinfer,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,4614.0,459.0,1,0,0.0,-1,1
2026-06-18T22:08:40,Hitomi,vowel_noinfer,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,5373.0,560.0,1,0,0.0,-1,1
2026-06-18T22:09:34,Hitomi,vowel_noinfer,3,L3-01,明日はパソコンを買いに行く,奴らが殺すのが気に入る,,a i a a a o o n o a i i i u,,49982.0,727.0,1,0,0.0,-1,0
2026-06-18T22:09:58,Hitomi,vowel_noinfer,3,L3-01,明日はパソコンを買いに行く,奴らが殺すのが気に入る,,a i a a a o o n o a i i i u,,19134.0,743.0,1,0,0.0,-1,0
2026-06-18T22:11:14,Hitomi,vowel_noinfer,1,L1-01,おはよう,おはよう,,o a o u,,2170.0,392.0,1,0,0.0,-1,1
2026-06-18T22:11:19,Hitomi,vowel_noinfer,1,L1-02,パソコン,パソコン,,a o o n,,1701.0,344.0,1,0,0.0,-1,1
2026-06-18T22:11:28,Hitomi,vowel_noinfer,1,L1-03,電話,電話,,e n a,,4686.0,627.0,1,0,0.0,-1,1
2026-06-18T22:11:36,Hitomi,vowel_noinfer,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,4236.0,392.0,1,0,0.0,-1,1
2026-06-18T22:11:44,Hitomi,vowel_noinfer,2,L2-02,気をつけてね,気を付けてね,,i o u e e e,,4153.0,495.0,1,0,0.0,-1,0
2026-06-18T22:11:52,Hitomi,vowel_noinfer,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,3915.0,393.0,1,0,0.0,-1,1
2026-06-18T22:12:00,Hitomi,vowel_noinfer,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,3532.0,475.0,1,0,0.0,-1,1
2026-06-18T22:13:57,Hitomi,vowel_noinfer,3,L3-01,明日はパソコンを買いに行く,明日はパソコンを買いに行く,,a i a a a o o n o a i i i u,,112685.0,1042.0,1,0,0.0,-1,1
2026-06-18T22:14:13,Hitomi,vowel_noinfer,3,L3-02,子供の病院に行こう,子供を病院に行く,,o o o o o u i n i i o u,,13222.0,473.0,1,0,0.0,-1,0
2026-06-18T22:14:29,Hitomi,vowel_noinfer,3,L3-02,子供の病院に行こう,子供の病院に行こう,,o o o o o u i n i i o u,,10848.0,522.0,1,0,0.0,-1,1
2026-06-18T22:14:48,Hitomi,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、電車で行こうか,,u u a e i o u a e n a e i o u a,,4924.0,11312.0,3,1,3538.0,-1,1
2026-06-18T22:18:44,Hitomi,vowel_noinfer,1,L1-01,おはよう,おはよう,,o a o u,,6508.0,1039.0,1,0,0.0,-1,1
2026-06-18T22:18:57,Hitomi,vowel_noinfer,1,L1-02,パソコン,パソコン,,a o o n,,8976.0,993.0,1,0,0.0,-1,1
2026-06-18T22:19:08,Hitomi,vowel_noinfer,1,L1-03,電話,電話,,e n a,,5763.0,2409.0,1,1,1912.0,-1,1
2026-06-18T22:19:25,Hitomi,vowel_noinfer,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,11969.0,491.0,1,0,0.0,-1,1
2026-06-18T22:19:42,Hitomi,vowel_noinfer,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,12189.0,1842.0,1,0,0.0,-1,1
2026-06-18T22:19:59,Hitomi,vowel_noinfer,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,13365.0,491.0,1,0,0.0,-1,1
2026-06-18T22:20:36,Hitomi,vowel_noinfer,3,L3-01,明日はパソコンを買いに行く,明日はパソコンを買いに行く,,a i a a a o o n o a i i i u,,33164.0,594.0,1,0,0.0,-1,1
2026-06-18T22:21:59,Hitomi,vowel_noinfer,3,L3-02,子供の病院に行こう,子供の病院に行こう,,o o o o o u i n i i o u,,78413.0,692.0,1,0,0.0,-1,1
2026-06-18T22:23:49,Hitomi,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、、電車で行こうか,,u u a e i o u a e n a e i o u a,,9619.0,97209.0,5,11,6427.7,-1,0
2026-06-18T22:24:30,Hitomi,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、、電車で行こうか,,u u a e i o u a e n a e i o u a,,14831.0,21512.0,3,1,5723.7,-1,0
2026-06-18T22:25:45,Hitomi,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、電車で行こうか,,u u a e i o u a e n a e i o u a,,33453.0,24383.0,3,2,4600.2,-1,1
