timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-19T18:35:31,うらき,ime,1,L1-01,おはよう,おはよう,,o a o u,,8432.0,3647.0,10,0,310.6,-1,1
2026-06-19T18:35:40,うらき,ime,1,L1-02,パソコン,パソコン,,a o o n,,4077.0,2264.0,3,1,216.3,-1,1
2026-06-19T18:35:47,うらき,ime,1,L1-03,電話,電話,,e n a,,807.0,2429.0,6,1,324.7,-1,1
2026-06-19T18:35:57,うらき,ime,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,4403.0,2346.0,9,1,201.0,-1,1
2026-06-19T18:36:04,うらき,ime,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,832.0,2981.0,8,1,322.8,-1,1
2026-06-19T18:36:10,うらき,ime,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,808.0,2580.0,10,1,218.2,-1,1
2026-06-19T18:36:22,うらき,ime,3,L3-01,来週はパソコンを買いに行く,来週はパソコンを買いに行く,,a i u u a a o o n o a i i i u,,432.0,8332.0,23,4,307.0,-1,1
2026-06-19T18:36:33,うらき,ime,3,L3-02,子供の病院に行こう,子供の病院に行こう,,o o o o o u i n i i o u,,796.0,6720.0,17,2,353.0,-1,1
2026-06-19T18:36:52,うらき,ime,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、電車で行こうか,,u u a e i o u a e n a e i o u a,,1343.0,14916.0,43,7,296.2,-1,1
2026-06-19T18:37:31,うらき,vowel_noinfer,1,L1-01,おはよう,おはよう,,o a o u,,3409.0,992.0,1,0,0.0,-1,1
2026-06-19T18:37:40,うらき,vowel_noinfer,1,L1-02,パソコン,パソコン,,a o o n,,6165.0,627.0,1,0,0.0,-1,1
2026-06-19T18:37:52,うらき,vowel_noinfer,1,L1-03,電話,電話,,e n a,,6882.0,1677.0,1,1,1178.0,-1,1
2026-06-19T18:38:03,うらき,vowel_noinfer,2,L2-01,今から帰る,今から帰る,,i a a a a e u,,6932.0,510.0,1,0,0.0,-1,1
2026-06-19T18:38:14,うらき,vowel_noinfer,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,7333.0,510.0,1,0,0.0,-1,1
2026-06-19T18:38:32,うらき,vowel_noinfer,2,L2-03,お腹がすいた,お腹がすいた,,o a a a u i a,,14454.0,744.0,1,0,0.0,-1,1
2026-06-19T18:39:30,うらき,vowel_noinfer,3,L3-01,来週はパソコンを買いに行く,来週はパソコンを買いに行く,,a i u u a a o o n o a i i i u,,10083.0,44559.0,3,6,5508.2,-1,1
2026-06-19T18:41:25,うらき,vowel_noinfer,3,L3-02,子供の病院に行こう,子供の病院に行く,,o o o o o u i n i i o u,,13066.0,98960.0,3,10,8176.3,-1,0
2026-06-19T18:42:00,うらき,vowel_noinfer,3,L3-02,子供の病院に行こう,子供の病院に行こう,,o o o o o u i n i i o u,,29953.0,795.0,1,0,0.0,-1,1
2026-06-19T18:42:55,うらき,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,車で行こうか、電車で行こうか,,u u a e i o u a e n a e i o u a,,31779.0,19949.0,4,4,2752.9,-1,1
